CustomerID,potentail_node,Customer_Longtitude,Customer_Latitude,tw_start,tw_end,Demand_kg,service_time
1,1,2.3322851,48.8279154,7:35,10:35,7,1
2,1,2.3987013,48.7936343,14:54,17:00,7,1
3,1,2.2436503,48.8433982,8:11,11:11,7,1
4,1,2.3873318,48.8757058,15:05,17:00,7,1
5,1,2.187630958,48.91300534,15:00,17:00,7,1
6,1,2.3265182,48.8718377,7:49,10:49,7,1
7,1,2.3572439,48.915744,14:58,17:00,7,1
8,1,2.340665862,48.78814337,8:29,11:29,7,1
9,1,2.2660833,48.8018516,7:55,10:55,7,1
10,1,2.1879172,48.808592,14:32,17:00,7,1
11,1,2.433019814,48.76537291,14:41,17:00,7,1
12,1,2.296991,48.8445018,13:33,16:33,7,1
13,1,2.2941864,48.8424621,15:00,17:00,7,1
14,1,2.411732882,49.00435519,14:45,17:00,7,1
15,1,2.401563,48.8947061,14:19,17:00,7,1
